id|marca|nombre|precio|precio_1|precio_2|precio_3|precio_unitario|rubro|url_imagen|url_producto
""|DI MODENA|Aceto Balsámico Cocinero 500ml|295.0|||||Almacén > Aceites y Vinagres > Acetos|614763-512-512|aceto-balsamico-di-modena-x-500-mlts/p
""|CASALTA|Aceto Balsámico Casalta Reducción 250ml|345.0|||||Almacén > Aceites y Vinagres > Acetos|567508-512-512|aceto-reduccion-casalta-x-250ml/p
""|TOSCANA|Aceto Balsámico La Toscana 250ml|359.0|||||Almacén > Aceites y Vinagres > Acetos|209583-512-512|aceto-balsamico-la-toscana-botella-250/p
""|MENOYO|Aceto Reducción Ahumado Menoyo 250cc|279.0|||||Almacén > Aceites y Vinagres > Acetos|657952-512-512|aceto-reduccion-ahumado-menoyo-250cc/p
""|MONTERREY|Aceto Balsamico Monterrey 250ml|96.4|||||Almacén > Aceites y Vinagres > Acetos|570098-512-512|aceto-balsamico-monterrey-250-ml/p
""|COCINERO|Aderezo Light Clásico Cocinero x 500ml|105.0|||||Almacén > Aceites y Vinagres > Acetos|614611-512-512|aderezo-light-clasico-cocinero-x500-ml/p
""|MONINI|Aceto Balsámico Monini - Bianco 500ml|425.0|||||Almacén > Aceites y Vinagres > Acetos|488296-512-512|aceto-balsamico-monini-bianco-botella-x-500ml/p
""|MENOYO|Aceto Reducción Original Menoyo 250cc|279.0|||||Almacén > Aceites y Vinagres > Acetos|657949-512-512|aceto-reduccion-original-menoyo-250cc/p
""|FAVINCO|Aceto Balsamico Espeso 250ml|225.0|||||Almacén > Aceites y Vinagres > Acetos|567536-512-512|aceto-balsamico-espeso-250-ml/p
""|CASALTA|Aceto Balsámico Casalta Glazé Mostaza 250ml|345.0|||||Almacén > Aceites y Vinagres > Acetos|567503-512-512|aceto-balsamico-casalta-glaze-mostaza-x250ml/p
""|COCINERO|Aderezo Cocinero 250ml|159.0|||||Almacén > Aceites y Vinagres > Acetos|614609-512-512|aceto-balsamico-cocinero/p
""|MONINI|Aceto Balsámico Monini - Rosso 500ml|425.0|||||Almacén > Aceites y Vinagres > Acetos|501577-512-512|aceto-balsamico-monini-rosso-x-500-ml/p
""|MENOYO|Aceto Reducción Original Menoyo 500cc|605.0|||||Almacén > Aceites y Vinagres > Acetos|657951-512-512|aceto-reduccion-original-menoyo-500cc/p
""|LA TOSCANA|Aceto Reducción Pet|425.0|||||Almacén > Aceites y Vinagres > Acetos|576340-512-512|aceto-reduccion-pet/p
""|FAVINCO|Aceto Balsamico Espeso Ahumado 500ml|328.0|||||Almacén > Aceites y Vinagres > Acetos|567535-512-512|aceto-balsamico-espeso-ahumado-500-ml/p
""|CASALTA|Aceto Balsámico Casalta Glaze Curry 250ml|345.0|||||Almacén > Aceites y Vinagres > Acetos|567502-512-512|aceto-balsamico-casalta-glaze-curryx250ml/p
""|MENOYO|Aceto Menoyo Reducción Limón 250cc|279.0|||||Almacén > Aceites y Vinagres > Acetos|666228-512-512|aceto-menoyo-reduccion-limon-250cc/p
""|MENOYO|Aceto Reducción Frutos Del Bosque Menoyo 250c|279.0|||||Almacén > Aceites y Vinagres > Acetos|657950-512-512|aceto-reduccion-frutos-del-bosque-menoyo-250c/p
""|MENOYO|Aceto Balsámico Ahumado Menoyo 250cc|387.0|||||Almacén > Aceites y Vinagres > Acetos|657948-512-512|aceto-balsamico-ahumado-menoyo-250cc/p
""|LA TOSCANA|Aceto Suave Pet|240.0|||||Almacén > Aceites y Vinagres > Acetos|576339-512-512|aceto-suave-pet/p
""|SAN GIORGIO|Aceto Balsámico San Giorgio 250ml|719.0|||||Almacén > Aceites y Vinagres > Acetos|192272-512-512|aceto-san-giorgio-x-250-cc/p
