COD.PROD;PRODUCTO;TOTAL;;0
3010;POLENTA MAGICA-17190-             X500GR;1052;0,000748275536078073;0,787139502167591
77250;JUGO INCA LIGHT LIMON SOBRE        X10GR;1045;0,000743296516351318;0,787882798683942
20482;JABON POLVO ALA MAT. C/VIV.CEL.MUL.X400G;1044;0,000742585227818924;0,788625383911761
29029;CALDO MAGGI VERDURA-12179082-      X12UN;1044;0,000742585227818924;0,78936796913958
32043;LECHE POLVO NIDO+NUTRICION LATA - X800GR;1038;0,000738317496624562;0,790106286636204
50079;ESPIRAL RAID - 407-                X12UN;1036;0,000736894919559775;0,790843181555764
16018;FLAN EXQUISITA VAINILLA       -    X60GR;1036;0,000736894919559775;0,791580076475324
41491;ACOND.PANTENE LISO EXTR.SACHET     X10ML;1036;0,000736894919559775;0,792316971394883
18156;LAMPARA PHILIPS HALOGENA ECOCLAS.53W-XUN;1031;0,000733338476897807;0,793050309871781
17272;TOALLA LADYSOFT ULTR.U.SUAV.C/ALAS  X8UN;1026;0,000729782034235839;0,793780091906017
