COD.PROD;PRODUCTO;TOTAL
78025;JUGO INCA BC ANANA SOBRE-          X30GR;4018,82
1035;GALLETA TERRABUSI VARIEDAD-       X400GR;4016,42
78029;JUGO INCA BC ANANA-BANANA SOBRE-   X30GR;4012,44
1044;GALLETA LIA DESFILE  -6807-       X400GR;4004,79
19104;LA GOTITA POMO                      X2GR;4001,62
1331;GALLETA MAURI S/SAL               X400GR;3998,42
21035;PIMENTON VILLA RICA -              X25GR;3956,34
92166;HAMBURGUESA PALADINI -23069-        X2UN;3918,41
17056;PAPEL HIG.HIGIENOL EXPORT 30M PLUS  X4UN;3903,26
9248;FIDEO LA PROVIDENCIA MOÐO -         X5KG;3899,63
41215;CREMA DENTAL KOLYNOS S/BLANCA-12005-X70G;3864,53
90950;YOGUR MANFREY YOFREY ENT.VAINILLA X120GR;3845,40
20180;JABON POLVO DRIVE REG.DISF.ATARD. X400GR;3837,01
93513;MORTADELA LA PIAMONTESA GIGANTE-1103-XKG;3821,60
17253;ROLLO COCINA SUSSEX ULT.60 PAÐ.-653-X3UN;3800,90
4004;YERBA LA TRANQUERA -590-          X500GR;3769,13
13502;DESINFECT.LYSOFORM LAVANDA AER.   X360CC;3762,13
1698;GALLETA MAURI FAUNA       -DS621- X150GR;3748,40
90029;YOGUR RAMOLAC ENT.SACH.VAINILLA-X1000GR;3738,15
92002;SALCHICHA VIENA VIENISSIMA-60884-   X6UN;3735,48
29108;PURE PAPA KNORR           -13659- X125GR;3730,96
17415;PAPEL HIG.HIGIENOL EXPORT 30M-1463- X4UN;3717,35
31894;CREMA DENTAL COLGATE ORIG.-140- X180GR;3687,13
90115;LECHE LA SERENISIMA C/CALC.ENT.SACH-X1LT;3682,45
4039;YERBA PERIQUITA BOLSA              X10KG;3673,95
20442;JABON PAN ALA (ESPUMA)           2X200GR;3660,84
6011;CABALLA ACEITE MARBELLA           X425GR;3654,36
15029;EDULCORANTE SI-DIET LIQUIDO       X200CC;3646,11
90217;YOGUR RAMOLAC ENT.PO.FRUTILLA     X125GR;3615,27
9051;FIDEO LA PROV.C/L X5KG+HAR.BONANZA X1KG;3609,43
17031;PAPEL HIG.ROLISU 30MT         -0054-X1UN;3606,38
95149;RAVIOLITOS LA TUCUMANITA BOLSA    X500GR;3597,93
90036;ACTIMEL-574-VAINILLA PACK        6X100GR;3585,84
11045;ARVEJA VALLE DE ORO(INCA)         X350GR;3581,09
31529;DESOD.KEVIN   -372/3 -AEROSOL     X150ML;3576,38
18289;LAMPARA OSRAM HALOGENA CLAS.A 70W    XUN;3569,38
37052;MAQ.AF.MINORA TWIN CARTEL-59793-    X1UN;3559,63
41487;SHAMPOO PLUSBELLE LECHE/ALM.C/AMINOB-X1L;3531,34
4037;YERBA AMANDA                      X250GR;3527,88
7603;JUGO GATORADE MANZANA    -1102-   X473CC;3524,24
18159;LAMPARA SOL DE NOCHE HALOG.53W       XUN;3515,08
27054;SECADOR DE GOMA SACCHI (50 CM)      X1UN;3469,09
77584;jugo ades durazno  t.b.             x1lt;3462,00
97352;PREPIZZA ALBERTUS MERCOFRUT-        X3UN;3430,37
9295;ARROZ 53 BLUE BONET -           10X500GR;3427,87
91070;QUESO CREMOSO CHELITA       -2417-   XKG;3425,81
4075;TE LA VIRGINIA BOLDO SAQ. -31012-  X25UN;3415,44
3046;BURGOL LA ESPAÐOLA                X500GR;3400,45
9185;FIDEO LA PROVIDENCIA TIRABUZON-     X5KG;3398,25
20110;JABON PAN GIGANTE SUAVE TERNURA-  X200GR;3381,30
50152;FLUIDO DESINFECTANTE X-5 LIQ.PLAST.X480C;3363,57
7519;JUGO BAGGIO DURAZNO T.B-          X200CC;3361,08
3253;CEREAL GRANIX SKARCHITO VITAM.    X240GR;3323,49
4283;YERBA CBSE SILUETA DR CORM.-3212- X500GR;3310,25
4172;YERBA TARAGUI SAQUITO     -100073- X50UN;3303,65
41277;ACOND.PLUSBELLE ALGAS MAR.C/AMINOB-X1LT;3298,61
36015;QUESO RALLADO LA BABILONIA -       X40GR;3295,60
28018;DULCE BATATA DULCOR C/CHOC.CAJON    X5KG;3279,53
