nombre|precio|imagen|rubro|id
TE LA VIRGINIA X 100 SAQ|145.0|http://tatito.com.ar/wp-content/uploads/2020/01/TE-LA-VIRG-X-100-SAQ.jpg|- Mate|0140
Mate Cocido en Saquitos Cachamate x 25 Uds.|53.84|http://tatito.com.ar/wp-content/uploads/2020/01/YERBA-SAQ-CACHAMATE-X-25U.jpg|- Mate|0141
YERBA TARAGUI C/P X 500GR|133.0|http://tatito.com.ar/wp-content/uploads/2020/04/yerba-mate-taragui-500-grs.jpg|- Mate|0142
YERBA PERIQUITA 500|90.0|http://tatito.com.ar/wp-content/uploads/2020/01/YERBA-PERIQUITA-500.jpg|- Mate|0143
TE LA VIRGINIA X 50 SAQ|75.0|http://tatito.com.ar/wp-content/uploads/2020/01/TE-LA-VIRG-X-50-SAQ.jpg|- Mate|0144
YERBA VERDEFLOR X 500GR VARIOS SABORES|135.0|http://tatito.com.ar/wp-content/uploads/2020/01/YERBA-VERDEFLOR-X-500GR-TODAS.jpg|- Mate|0145
Mate Cocido Broche de Oro x 25 uds.|49.97|http://tatito.com.ar/wp-content/uploads/2020/01/YERBA-SAQ-BROCHE-O-X-25.jpg|- Mate|0146
YERBA BROCHE ORO 500GR|120.0|http://tatito.com.ar/wp-content/uploads/2020/01/YERBA-BROCHE-ORO-500GR.jpg|- Mate|0147
YERBA CBSE 500GR|135.0|http://tatito.com.ar/wp-content/uploads/2020/01/YERBA-CBSE-500GR.jpg|- Mate|0148
Yerba Cachamate con Hierbas 500 Grs. (Rosa)|115.0|http://tatito.com.ar/wp-content/uploads/2019/11/yerba-cachamate-hierbas-500.jpg|- Mate|0149
YERBA CBSE 250GR|80.0|http://tatito.com.ar/wp-content/uploads/2020/01/YERBA-CBSE-250GR.jpg|- Mate|0150
TE LA VIRGINIA X 25 SAQ|39.0|http://tatito.com.ar/wp-content/uploads/2020/01/TE-LA-VIRG-X-25-SAQ.jpg|- Mate|0151
Dulce de Leche Clasico Manfrey x 250 grs.|66.0|http://tatito.com.ar/wp-content/uploads/2020/05/Dulce-de-leche-manfrey-250.jpg|- Otros|0152
Galletas de Arroz All Rice Limon x 100 grs.|58.0|http://tatito.com.ar/wp-content/uploads/2020/05/galletas-all-rice-limon.jpg|- Otros|0153
Galletas de Arroz All Rice Sin Sal x 100 grs.|58.0|http://tatito.com.ar/wp-content/uploads/2020/05/galletas-all-rice-sin-sal.jpg|- Otros|0154
Galletas de Arroz All Rice Naranja x 100 grs.|58.0|http://tatito.com.ar/wp-content/uploads/2020/05/galletas-all-rice-naranja.jpg|- Otros|0155
Galletas de Arroz All Rice Dulces x 100 grs.|58.0|http://tatito.com.ar/wp-content/uploads/2020/05/galletas-all-rice-dulce.jpg|- Otros|0156
Leche en Polvo Descremada Lheritier 350 gr.|195.0|http://tatito.com.ar/wp-content/uploads/2020/05/leche-en-polvo-lheritier-800.jpg|- Otros|0157
Cono de Dulce de Leche Patagonia 50 grs.|55.0|http://tatito.com.ar/wp-content/uploads/2020/05/cono-dolchito-patagonia.jpg|- Otros|0158
Alfajor Dolche Patagonia MAICENA 75 grs.|55.0|http://tatito.com.ar/wp-content/uploads/2020/05/alfajor-dolche-patagonia-maicena.jpg|- Otros|0159
Alfajor Dolche Patagonia BLANCO 60 grs.|55.0|http://tatito.com.ar/wp-content/uploads/2020/05/alfajor-dolche-patagonia-blanco.jpg|- Otros|0160
Alfajor Dolche Patagonia NEGRO 60 grs.|55.0|http://tatito.com.ar/wp-content/uploads/2020/05/alfajor-dolche-patagonia-negro.jpg|- Otros|0161
Grasa vacuna Kamote x 1 Kg.|112.5|http://tatito.com.ar/wp-content/uploads/2020/05/grasa-kamote-1kg.jpg|- Otros|0162
Grasa vacuna Kamote x 500 gr.|60.0|http://tatito.com.ar/wp-content/uploads/2020/05/grasa-kamote-500g.jpg|- Otros|0163
Lasagna Matarazzo x 500g|198.0|http://tatito.com.ar/wp-content/uploads/2020/05/LASAGNA-MATARAZZO-500.jpg|- Otros|0164
CACAO QUICKER X 200GR|52.0|http://tatito.com.ar/wp-content/uploads/2020/04/CACAO-QUICKER-200.jpg|- Otros|0165
Dulce de Batata Riojanita Cajon 5K Vainilla|427.0|http://tatito.com.ar/wp-content/uploads/2020/01/DULCE-BAT-RIOJANITA-CAJON-5K-VA.jpg|- Otros|0166
Dulce de Batata Riojanita Vainilla Lata x 5 kg|620.0|http://tatito.com.ar/wp-content/uploads/2020/01/DULCE-BAT-RIOJANITA-VAIN-LATA.jpg|- Otros|0167
Dulce de Batata Dulcor Cajon 5Kg.|500.0|http://tatito.com.ar/wp-content/uploads/2020/01/DULCE-BAT-DULCOR-CAJON-5KG.jpg|- Otros|0168
Galletas de Arroz All Rice Con Sal x 100 grs.|58.0|http://tatito.com.ar/wp-content/uploads/2019/11/GALLETA-ALL-RICE-X-100-GR.jpg|- Otros|0169
