nombre|precio|url_producto|url_imagen|rubro|id
HAMBURGUESA PALADINI 2UN|99.0|http://tatito.com.ar/producto/hamb-paladini-2un/|/2020/01/HAMB-PALADINI-2UN.jpg|Frescos y Congelados > Hamburguesas|00656
Hamburguesa Swift Doble (2 uds.)|55.0|http://tatito.com.ar/producto/hamb-swift-x-2un/|/2020/01/HAMB-SWIFT-X-2UN.jpg|Frescos y Congelados > Hamburguesas|00657
Protector Calipso Normal x 20 sin desodorante|45.0|http://tatito.com.ar/producto/protec-calipso-x-20un/|/2019/11/protector-calipso-normal-x20-1.jpg|Limpieza > Protección Femenina|00699
Toalla Calipso Normal con Gel con Alas x 8 uds.|33.0|http://tatito.com.ar/producto/toall-calipso-plus-verde-8u/|/2020/01/TOALL-CALIPSO-PLUS-VERDE.8U..jpg|Limpieza > Protección Femenina|00700
Mermelada de Ciruela Dulcor Light x 420 grs.|59.0|http://tatito.com.ar/producto/mermelada-de-ciruela-dulcor-light-x-420-grs/|/2020/07/mermelada-dulcor-ciruela-light-420.jpg|Desayuno > Mermeladas|00603
Mermelada de Durazno Dulcor Light x 420 grs.|59.0|http://tatito.com.ar/producto/mermelada-de-durazno-dulcor-light-x-420-grs/|/2020/07/mermelada-dulcor-durazno-light-420.jpg|Desayuno > Mermeladas|00604
Mermelada Mix Frutal Orieta x 500 grs.|52.5|http://tatito.com.ar/producto/mermelada-mix-frutal-orieta-x-500-grs/|/2020/07/mermelada-orieta-mixfrutal-500.jpg|Desayuno > Mermeladas|00605
Mermelada Durazno Orieta x 500 grs.|52.5|http://tatito.com.ar/producto/mermelada-durazno-orieta-x-500-grs/|/2020/07/mermelada-orieta-durazno-500.jpg|Desayuno > Mermeladas|00606
Mermelada Damasco Orieta x 500 grs.|52.5|http://tatito.com.ar/producto/mermelada-damasco-orieta-x-500-grs/|/2020/07/mermelada-orieta-damasco-500.jpg|Desayuno > Mermeladas|00607
Mermelada Durazno Orieta light x 420|52.5|http://tatito.com.ar/producto/mermelada-orieta-light-x-420-durazno-ciruela/|/2020/04/mermelada-durazno-orieta-light.jpg|Desayuno > Mermeladas|00608
Lavavajillas Ala  750Ml|63.5|http://tatito.com.ar/producto/lavav-ala-750ml/|/2020/01/LAVAV-ALA-750ML.jpg|Limpieza > Lavavajillas|00737
Salchicha Don Otto 6 uds.|36.0|http://tatito.com.ar/producto/salchicha-don-otto-6-uds/|/2020/05/salchichas-don-otto.jpg|Frescos y Congelados > Salchichas|00665
SALCHICHA SOYCHU 6 UN.|30.0|http://tatito.com.ar/producto/salchicha-soychu-6-un/|/2020/01/SALCHICHA-SOYCHU-6-UN..jpg|Frescos y Congelados > Salchichas|00666
SALCHICHA PALADINI 6UN|87.0|http://tatito.com.ar/producto/salchicha-paladini-6un/|/2020/01/SALCHICHA-PALADINI-6UN.jpg|Frescos y Congelados > Salchichas|00667
SALCHICHA 66 6UN|35.9|http://tatito.com.ar/producto/salchicha-66-6un/|/2020/01/SALCHICHA-66-6UN.jpg|Frescos y Congelados > Salchichas|00668
Pebete X6 Pandino|67.0|http://tatito.com.ar/producto/pebete-x6-pandino/|/2020/01/default.jpg|Panadería > Pebete|00748
SUAVIZANTE VIVERE PLANCHA FACIL 900M|90.95|http://tatito.com.ar/producto/suavizante-vivere-plancha-facil-900m/|/2020/04/SUAVIZANTE-VIVERE-PLANCHA-FACIL.jpg|Limpieza > Suavizante|00709
SUAVIZANTE BORITA X 900ML TODOS|85.0|http://tatito.com.ar/producto/suav-borita-x-900ml-todos/|/2020/01/SUAV-BORITA-X-900ML-TODOS.jpg|Limpieza > Suavizante|00710
Chips Pandino|50.0|http://tatito.com.ar/producto/chips-pandino/|/2020/01/default.jpg|Panadería > Chips|00750
Prepizzas Tatito x 3 (Albertus)|85.0|http://tatito.com.ar/producto/prepizas-tatito-x-3/|/2020/01/default.jpg|Panadería > Prepizzas|00749
YOGUR YOFREY 120GR|27.0|http://tatito.com.ar/producto/yogur-yofrey-120gr/|/2020/01/YOGUR-YOFREY-120GR.jpg|Lacteos > Yogures|00691
YOGUR SANTA MARIA VASITO 125CC|22.0|http://tatito.com.ar/producto/yogur-santa-maria-vasito-125cc/|/2020/01/YOGUR-SANTA-MARIA-VASITO-125CC.jpg|Lacteos > Yogures|00692
Yogur Cerros Tucumanos 1 Lts.|56.99|http://tatito.com.ar/producto/yogur-cerros-tuc-1lt/|/2020/01/YOGUR-CERROS-TUC-1LT.jpg|Lacteos > Yogures|00693
Queso Crema Light La Paulina X 290 grs.|105.1|http://tatito.com.ar/producto/queso-crema-light-la-paulina-x-290-grs/|/2020/05/queso-crema-light-la-paulina-290.jpg|Frescos y Congelados > Untables|00672
CASANCREM ENTERO 290GR|175.0|http://tatito.com.ar/producto/casancrem-ls-300gr-ent/|/2020/01/CASANCREM-LS-300GR-ENT.jpg|Frescos y Congelados > Untables|00673
CASANCREM DESCREMADO 290GR|175.0|http://tatito.com.ar/producto/casancrem-ls-300gr-desc/|/2020/01/CASANCREM-LS-300GR-DESC.jpg|Frescos y Congelados > Untables|00674
QUESO UNTABLE LA PAULINA X 200GR VS SABORES|94.29|http://tatito.com.ar/producto/queso-unt-la-paulina-x-200gr/|/2019/11/QUESO-UNT-LA-PAULINA.jpg|Frescos y Congelados > Untables|00675
Leche Descremada Larga Vida La Suipachense x 1 Lt.|76.5|http://tatito.com.ar/producto/leche-descremada-larga-vida-la-suipachense-x-1-lt/|/2020/05/leche-la-suipachense-lv-descremada.jpg|Lacteos > Leche|00676
